COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
3046768,5,0,0,0,0,0,5,0
3522826,0,0,0,0,0,0,0,0
4486991,4,0,0,0,0,0,4,0
4513547,1,0,0,0,0,0,1,0
1006556,0,0,0,0,0,0,0,0
3525343,0,0,0,0,0,0,0,0
1016057,0,0,0,0,0,0,0,0
4043305,0,0,0,0,0,0,0,0
4486537,0,0,0,0,0,0,0,0
1015230,2,0,0,0,0,0,2,0
1003489,0,0,0,0,0,0,0,0
3536315,2,0,0,0,0,0,2,0
4060712,0,0,0,0,0,0,0,0
4407458,0,0,0,0,0,0,0,0
3532256,0,0,0,0,0,0,0,0
4045630,0,0,0,0,0,0,0,0
3529756,0,0,0,0,0,0,0,0
4487001,1,0,0,0,0,0,1,0
1004746,0,0,0,0,0,0,0,0
4049555,0,0,0,0,0,0,0,0
4456314,0,0,0,0,0,0,0,0
4051174,0,0,0,0,0,0,0,0
1013754,0,0,0,0,0,0,0,0
1014131,0,0,0,0,0,0,0,0
1005205,0,0,0,0,0,0,0,0
3529248,1,0,0,0,1,0,0,0
4486609,0,0,0,0,0,0,0,0
3523873,0,0,0,0,0,0,0,0
3522947,1,0,0,0,0,0,1,0
4054724,0,0,0,0,0,0,0,0
3533964,0,0,0,0,0,0,0,0
4041652,0,0,0,0,0,0,0,0
4486605,0,0,0,0,0,0,0,0
3107587,0,0,0,0,0,0,0,0
4045225,0,0,0,0,0,0,0,0
1005951,0,0,0,0,0,0,0,0
1013098,3,0,0,0,0,0,3,0
3530238,0,0,0,0,0,0,0,0
1011703,1,0,0,0,0,0,1,0
4486634,0,0,0,0,0,0,0,0
4486555,0,0,0,0,0,0,0,0
4542336,1,0,0,0,0,0,1,0
4541903,0,0,0,0,0,0,0,0
1008600,0,0,0,0,0,0,0,0
3522859,0,0,0,0,0,0,0,0
1014661,2,0,0,0,0,0,2,0
4041314,0,0,0,0,0,0,0,0
1005440,0,0,0,0,0,0,0,0
4039961,0,0,0,0,0,0,0,0
4521684,1,0,0,0,0,0,1,0
4486519,0,0,0,0,0,0,0,0
1009464,0,0,0,0,0,0,0,0
4486581,1,0,0,0,1,0,0,0
4046696,0,0,0,0,0,0,0,0
4455765,2,0,0,0,0,0,2,0
4486284,3,0,0,0,0,0,3,0
4047524,0,0,0,0,0,0,0,0
1012338,1,0,1,0,0,0,0,0
1008858,0,0,0,0,0,0,0,0
3521405,1,0,1,0,0,0,0,0
4055654,0,0,0,0,0,0,0,0
1009211,0,0,0,0,0,0,0,0
3528086,0,0,0,0,0,0,0,0
4486967,0,0,0,0,0,0,0,0
4513985,0,0,0,0,0,0,0,0
4486564,0,0,0,0,0,0,0,0
4052049,0,0,0,0,0,0,0,0
4486635,2,0,0,0,0,0,2,0
1011119,1,0,0,0,1,0,0,0
4055629,0,0,0,0,0,0,0,0
4044892,0,0,0,0,0,0,0,0
3521095,1,0,0,0,0,0,1,0
1009257,0,0,0,0,0,0,0,0
3522563,0,0,0,0,0,0,0,0
1004260,0,0,0,0,0,0,0,0
4051567,0,0,0,0,0,0,0,0
4042526,0,0,0,0,0,0,0,0
4060805,1,0,1,0,0,0,0,0
4042738,1,0,0,0,0,0,1,0
3536354,0,0,0,0,0,0,0,0
4048450,0,0,0,0,0,0,0,0
3530730,0,0,0,0,0,0,0,0
3537120,0,0,0,0,0,0,0,0
3523935,0,0,0,0,0,0,0,0
1012767,0,0,0,0,0,0,0,0
4060661,0,0,0,0,0,0,0,0
4051152,0,0,0,0,0,0,0,0
4044436,0,0,0,0,0,0,0,0
4049323,0,0,0,0,0,0,0,0
1009557,0,0,0,0,0,0,0,0
3538340,0,0,0,0,0,0,0,0
1003828,0,0,0,0,0,0,0,0
3531793,0,0,0,0,0,0,0,0
4487040,1,0,0,0,0,0,1,0
1004373,0,0,0,0,0,0,0,0
4042022,0,0,0,0,0,0,0,0
4486660,2,0,0,0,0,0,2,0
4042633,0,0,0,0,0,0,0,0
3532363,1,0,1,0,0,0,0,0
1009352,0,0,0,0,0,0,0,0
3530396,0,0,0,0,0,0,0,0
4512922,0,0,0,0,0,0,0,0
3537010,0,0,0,0,0,0,0,0
4486905,0,0,0,0,0,0,0,0
4487074,0,0,0,0,0,0,0,0
1005273,0,0,0,0,0,0,0,0
4042645,2,0,0,0,0,0,2,0
4047533,0,0,0,0,0,0,0,0
3529868,0,0,0,0,0,0,0,0
4042557,0,0,0,0,0,0,0,0
1004658,0,0,0,0,0,0,0,0
3533827,0,0,0,0,0,0,0,0
4048392,0,0,0,0,0,0,0,0
4045056,0,0,0,0,0,0,0,0
4050957,0,0,0,0,0,0,0,0
4486875,0,0,0,0,0,0,0,0
4487127,0,0,0,0,0,0,0,0
1006571,0,0,0,0,0,0,0,0
3533347,0,0,0,0,0,0,0,0
4054797,0,0,0,0,0,0,0,0
4052244,0,0,0,0,0,0,0,0
4522226,1,0,1,0,0,0,0,0
3526195,1,0,1,0,0,0,0,0
3534708,0,0,0,0,0,0,0,0
4514412,1,0,0,0,0,0,1,0
3537029,3,0,0,0,0,0,3,0
4485542,1,0,0,0,1,0,0,0
4049255,0,0,0,0,0,0,0,0
4521460,0,0,0,0,0,0,0,0
3529984,0,0,0,0,0,0,0,0
4055496,0,0,0,0,0,0,0,0
4487052,1,0,0,0,1,0,0,0
4522167,1,0,0,0,0,0,1,0
4049716,0,0,0,0,0,0,0,0
1002840,0,0,0,0,0,0,0,0
3521614,1,0,1,0,0,0,0,0
1009921,0,0,0,0,0,0,0,0
4521801,0,0,0,0,0,0,0,0
1010765,0,0,0,0,0,0,0,0
1011573,0,0,0,0,0,0,0,0
4521702,0,0,0,0,0,0,0,0
4521758,0,0,0,0,0,0,0,0
1012307,1,0,1,0,0,0,0,0
3521958,0,0,0,0,0,0,0,0
4486556,1,0,0,0,0,0,1,0
4046227,0,0,0,0,0,0,0,0
4486934,0,0,0,0,0,0,0,0
3533798,0,0,0,0,0,0,0,0
4521633,0,0,0,0,0,0,0,0
1013816,0,0,0,0,0,0,0,0
3522259,0,0,0,0,0,0,0,0
3538960,1,0,1,0,0,0,0,0
4051863,0,0,0,0,0,0,0,0
3535086,1,0,0,0,0,0,1,0
1005414,0,0,0,0,0,0,0,0
3532097,0,0,0,0,0,0,0,0
3533718,0,0,0,0,0,0,0,0
4048614,0,0,0,0,0,0,0,0
1015599,1,0,0,0,0,0,1,0
3525321,0,0,0,0,0,0,0,0
3530261,1,0,0,0,0,0,1,0
4040919,0,0,0,0,0,0,0,0
1006810,0,0,0,0,0,0,0,0
1007746,0,0,0,0,0,0,0,0
4060636,0,0,0,0,0,0,0,0
3534586,1,0,0,0,0,0,1,0
3533833,0,0,0,0,0,0,0,0
3526713,0,0,0,0,0,0,0,0
3533953,0,0,0,0,0,0,0,0
4045803,0,0,0,0,0,0,0,0
3528590,0,0,0,0,0,0,0,0
1004026,0,0,0,0,0,0,0,0
4044923,0,0,0,0,0,0,0,0
3521311,0,0,0,0,0,0,0,0
4042268,0,0,0,0,0,0,0,0
2992639,0,0,0,0,0,0,0,0
4486604,0,0,0,0,0,0,0,0
3527987,0,0,0,0,0,0,0,0
4407665,0,0,0,0,0,0,0,0
4522015,0,0,0,0,0,0,0,0
4522124,1,0,0,0,0,0,0,0
4522156,0,0,0,0,0,0,0,0
